community_name,census_year,population,tier,region,zone,province,is_active,start_date,end_date
Toronto,2000,2731571,Tier 1,Central,Zone A,Ontario,True,2000-01-01T00:00:00,
Vancouver,2000,631486,Tier 1,West,Zone B,British Columbia,True,2000-01-01T00:00:00,
Montreal,2000,1704694,Tier 1,East,Zone C,Quebec,True,2000-01-01T00:00:00,
Calgary,2000,1239220,Tier 2,Prairie,Zone D,Alberta,True,2000-01-01T00:00:00,
Ottawa,2000,934243,Tier 2,Central,Zone E,Ontario,True,2000-01-01T00:00:00,
Edmonton,2000,932546,Tier 2,Prairie,Zone F,Alberta,True,2000-01-01T00:00:00,
Winnipeg,2000,705244,Tier 2,Prairie,Zone G,Manitoba,True,2000-01-01T00:00:00,
Quebec City,2000,531902,Tier 3,East,Zone H,Quebec,True,2000-01-01T00:00:00,
Hamilton,2000,536917,Tier 2,Central,Zone I,Ontario,True,2000-01-01T00:00:00,
Kitchener,2000,256885,Tier 3,Central,Zone J,Ontario,True,2000-01-01T00:00:00,
London,2000,383822,Tier 3,Central,Zone K,Ontario,True,2000-01-01T00:00:00,
Halifax,2000,403131,Tier 3,Atlantic,Zone L,Nova Scotia,True,2000-01-01T00:00:00,
Victoria,2000,363222,Tier 3,West,Zone M,British Columbia,True,2000-01-01T00:00:00,
Saskatoon,2000,273010,Tier 3,Prairie,Zone N,Saskatchewan,True,2000-01-01T00:00:00,
Regina,2000,230935,Tier 3,Prairie,Zone O,Saskatchewan,True,2000-01-01T00:00:00,
St. John's,2000,205955,Tier 4,Atlantic,Zone P,Newfoundland and Labrador,True,2000-01-01T00:00:00,
Kelowna,2000,194882,Tier 4,West,Zone Q,British Columbia,True,2000-01-01T00:00:00,
Barrie,2000,147829,Tier 4,Central,Zone R,Ontario,True,2000-01-01T00:00:00,
Sherbrooke,2000,167105,Tier 4,East,Zone S,Quebec,True,2000-01-01T00:00:00,
Guelph,2000,143740,Tier 4,Central,Zone T,Ontario,True,2000-01-01T00:00:00,
Addington Highlands,2000,2534,Lower Tier,Lennox and Addington County,,Ontario,true,2000-01-01T00:00:00,
