site_name,census_year,community_name,site_type,operator_type,service_partner,address_line_1,address_line_2,address_city,address_postal_code,region,service_area,address_latitude,address_longitude,latitude,longitude,is_active,event_approved,site_start_date,site_end_date,program_paint,program_paint_start_date,program_paint_end_date,program_lights,program_lights_start_date,program_lights_end_date,program_solvents,program_solvents_start_date,program_solvents_end_date,program_pesticides,program_pesticides_start_date,program_pesticides_end_date,program_fertilizers,program_fertilizers_start_date,program_fertilizers_end_date
Event - Wawa Magpie Garage,2000,Wawa,Event,Municipal,THE CORPORATION OF THE MUNICIPALITY OF WAWA,26 Magpie Road,,Wawa,P0S 1K0,Algoma District,Zone 7,47.990276,-84.768229,47.990276,-84.768229,true,true,2025-09-13T00:00:00,2025-09-13T00:00:00,true,2025-09-13T00:00:00,2025-09-13T00:00:00,true,2025-09-13T00:00:00,2025-09-13T00:00:00,true,2025-09-13T00:00:00,2025-09-13T00:00:00,true,2025-09-13T00:00:00,2025-09-13T00:00:00,false,,
Event - Chapleau Moore Arena (Parking Lot),2000,Chapleau,Event,Municipal,CORPORATION OF THE TOWNSHIP OF CHAPLEAU,4 Maple Street,,Chapleau,P0M 1K0,Sudbury District,Zone 7,47.8387041,-83.4042037,47.8387041,-83.4042037,true,true,2023-06-17T00:00:00,2023-06-17T00:00:00,true,2023-06-17T00:00:00,2023-06-17T00:00:00,false,,,true,2023-06-17T00:00:00,2023-06-17T00:00:00,true,2023-06-17T00:00:00,2023-06-17T00:00:00,false,,
Event - Elliot Lake Public Works Department Yard,2000,Elliot Lake,Event,Municipal,THE CORPORATION OF THE CITY OF ELLIOT LAKE,3 Timber Road,,Elliot Lake,P5A 2T1,Algoma District,Zone 7,46.401494,-82.665117,46.401494,-82.665117,true,true,2024-05-29T00:00:00,2024-05-29T00:00:00,true,2024-05-29T00:00:00,2024-05-29T00:00:00,false,,,true,2024-05-29T00:00:00,2024-05-29T00:00:00,true,2024-05-29T00:00:00,2024-05-29T00:00:00,false,,
Event - Elliot Lake Public Works Department Yard,2000,Elliot Lake,Event,Municipal,THE CORPORATION OF THE CITY OF ELLIOT LAKE,3 Timber Road,,Elliot Lake,P5A 2T1,Algoma District,Zone 7,46.401494,-82.665117,46.401494,-82.665117,true,true,2023-05-30T00:00:00,2023-06-01T00:00:00,true,2023-05-30T00:00:00,2023-06-01T00:00:00,false,,,true,2023-05-30T00:00:00,2023-06-01T00:00:00,true,2023-05-30T00:00:00,2023-06-01T00:00:00,false,,
Event - Lambton College,2000,Sarnia,Event,Municipal,THE CORPORATION OF THE COUNTY OF LAMBTON,1457 London Rd.,,Sarnia,N7S 6K4,Lambton County,Zone 9,42.975771,-82.347743,42.975771,-82.347743,true,true,2024-06-15T00:00:00,2024-06-15T00:00:00,true,2024-06-15T00:00:00,2024-06-15T00:00:00,true,2024-06-15T00:00:00,2024-06-15T00:00:00,true,2024-06-15T00:00:00,2024-06-15T00:00:00,true,2024-06-15T00:00:00,2024-06-15T00:00:00,false,,
Event - Lambton College,2000,Sarnia,Event,Municipal,THE CORPORATION OF THE COUNTY OF LAMBTON,1457 London Rd.,,Sarnia,N7S 6K4,Lambton County,Zone 9,42.975771,-82.347743,42.975771,-82.347743,true,true,2023-06-17T00:00:00,2023-06-17T00:00:00,true,2023-06-17T00:00:00,2023-06-17T00:00:00,true,2023-06-17T00:00:00,2023-06-17T00:00:00,true,2023-06-17T00:00:00,2023-06-17T00:00:00,true,2023-06-17T00:00:00,2023-06-17T00:00:00,false,,
Event - Lambton College,2000,Sarnia,Event,Municipal,THE CORPORATION OF THE COUNTY OF LAMBTON,1457 London Rd.,,Sarnia,N7S 6K4,Lambton County,Zone 9,42.975771,-82.347743,42.975771,-82.347743,true,true,2025-06-07T00:00:00,2025-06-07T00:00:00,true,2025-06-07T00:00:00,2025-06-07T00:00:00,true,2025-06-07T00:00:00,2025-06-07T00:00:00,true,2025-06-07T00:00:00,2025-06-07T00:00:00,true,2025-06-07T00:00:00,2025-06-07T00:00:00,false,,
Event - Clean Harbors Facility (Lambton),2000,St. Clair,Event,Municipal,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,Lambton County,Zone 9,42.87854,-82.30215,42.87854,-82.30215,true,true,2024-07-13T00:00:00,2024-07-13T00:00:00,true,2024-07-13T00:00:00,2024-07-13T00:00:00,true,2024-07-13T00:00:00,2024-07-13T00:00:00,true,2024-07-13T00:00:00,2024-07-13T00:00:00,true,2024-07-13T00:00:00,2024-07-13T00:00:00,false,,
Event - Clean Harbors Facility (Lambton),2000,St. Clair,Event,Municipal,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,Lambton County,Zone 9,42.87854,-82.30215,42.87854,-82.30215,true,true,2024-03-23T00:00:00,2024-03-23T00:00:00,true,2024-03-23T00:00:00,2024-03-23T00:00:00,true,2024-03-23T00:00:00,2024-03-23T00:00:00,true,2024-03-23T00:00:00,2024-03-23T00:00:00,true,2024-03-23T00:00:00,2024-03-23T00:00:00,false,,
Event - Clean Harbors Facility (Lambton),2000,St. Clair,Event,Municipal,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,Lambton County,Zone 9,42.87854,-82.30215,42.87854,-82.30215,true,true,2024-04-27T00:00:00,2024-04-27T00:00:00,true,2024-04-27T00:00:00,2024-04-27T00:00:00,true,2024-04-27T00:00:00,2024-04-27T00:00:00,true,2024-04-27T00:00:00,2024-04-27T00:00:00,true,2024-04-27T00:00:00,2024-04-27T00:00:00,false,,
