Collection Site Name,Collection Site Type,Operator Type,Site ID,Service Partner,Address Line 1,Address Line 2,Address City,Address Postal / Zip Code,Community,Region/District,Service Area,Address Latitude,Address Longitude,Paints and Coatings,HHW/HSP,Alarms,Lights,Paints and Coatings2,Start Date - Paints and Coating,End Date - Paints and Coatings,Lights3,Lights - Start Date,Lights - End Date,Solvents,Solvents - Start Date,Solvents - End Date,Pesticides,Pesticides - Start Date,Pesticides - End Date,Fertilizers,Fertilizers - Start Date,Fertilizers - End Date,PaintShare,PaintShare - Start Date,PaintShare - End Date,Residential,Commercial,Industrial,Institutional
Event - Wawa Magpie Garage,Collection Event,Municipal,3030,THE CORPORATION OF THE MUNICIPALITY OF WAWA,26 Magpie Road,,Wawa,P0S 1K0,Wawa,Algoma District,Zone 7,47.990276,-84.768229,1,1,,1,1,09/13/2025,09/13/2025,1,09/13/2025,09/13/2025,1,09/13/2025,09/13/2025,1,09/13/2025,09/13/2025,,,,,,,1,,,
Event - Chapleau Moore Arena (Parking Lot),Collection Event,Municipal,3339,CORPORATION OF THE TOWNSHIP OF CHAPLEAU,4 Maple Street,,Chapleau,P0M 1K0,Chapleau,Sudbury District,Zone 7,47.8387041,-83.4042037,1,1,,,1,06/17/2023,06/17/2023,,,,1,06/17/2023,06/17/2023,1,06/17/2023,06/17/2023,,,,,,,1,,,
Event - Elliot Lake Public Works Department Yard,Collection Event,Municipal,3150,THE CORPORATION OF THE CITY OF ELLIOT LAKE,3 Timber Road,,Elliot Lake,P5A 2T1,Elliot Lake,Algoma District,Zone 7,46.401494,-82.665117,1,1,,,1,05/29/2024,05/29/2024,,,,1,05/29/2024,05/29/2024,1,05/29/2024,05/29/2024,,,,,,,1,,,
Event - Elliot Lake Public Works Department Yard,Collection Event,Municipal,3150,THE CORPORATION OF THE CITY OF ELLIOT LAKE,3 Timber Road,,Elliot Lake,P5A 2T1,Elliot Lake,Algoma District,Zone 7,46.401494,-82.665117,1,1,,,1,05/30/2023,6/1/2023,,,,1,05/30/2023,6/1/2023,1,05/30/2023,6/1/2023,,,,,,,1,,,
Event - Lambton College,Collection Event,Municipal,3148,THE CORPORATION OF THE COUNTY OF LAMBTON,1457 London Rd.,,Sarnia,N7S 6K4,Sarnia,Lambton County,Zone 9,42.975771,-82.347743,1,1,,1,1,06/15/2024,06/15/2024,1,06/15/2024,06/15/2024,1,06/15/2024,06/15/2024,1,06/15/2024,06/15/2024,,,,,,,1,,,
Event - Lambton College,Collection Event,Municipal,3148,THE CORPORATION OF THE COUNTY OF LAMBTON,1457 London Rd.,,Sarnia,N7S 6K4,Sarnia,Lambton County,Zone 9,42.975771,-82.347743,1,1,,1,1,06/17/2023,06/17/2023,1,06/17/2023,06/17/2023,1,06/17/2023,06/17/2023,1,06/17/2023,06/17/2023,,,,,,,1,,,
Event - Lambton College,Collection Event,Municipal,3148,THE CORPORATION OF THE COUNTY OF LAMBTON,1457 London Rd.,,Sarnia,N7S 6K4,Sarnia,Lambton County,Zone 9,42.975771,-82.347743,1,1,,1,1,06/07/2025,06/07/2025,1,06/07/2025,06/07/2025,1,06/07/2025,06/07/2025,1,06/07/2025,06/07/2025,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,07/13/2024,07/13/2024,1,07/13/2024,07/13/2024,1,07/13/2024,07/13/2024,1,07/13/2024,07/13/2024,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,03/23/2024,03/23/2024,1,03/23/2024,03/23/2024,1,03/23/2024,03/23/2024,1,03/23/2024,03/23/2024,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,04/27/2024,04/27/2024,1,04/27/2024,04/27/2024,1,04/27/2024,04/27/2024,1,04/27/2024,04/27/2024,,,,,,,1,,,
