community_name,census_year,population,tier,region,zone,province,is_active,start_date,end_date
Toronto,2030,2930000,Tier 1,Central,Zone A,Ontario,true,2030-01-01T00:00:00,
Vancouver,2030,675218,Tier 1,West,Zone B,British Columbia,true,2030-01-01T00:00:00,
Montreal,2030,1762949,Tier 1,East,Zone C,Quebec,true,2030-01-01T00:00:00,
Calgary,2030,1306784,Tier 2,Prairie,Zone D,Alberta,true,2030-01-01T00:00:00,
Ottawa,2030,1017449,Tier 2,Central,Zone E,Ontario,true,2030-01-01T00:00:00,
Edmonton,2030,1010899,Tier 2,Prairie,Zone F,Alberta,true,2030-01-01T00:00:00,
Winnipeg,2030,778489,Tier 3,Prairie,Zone G,Manitoba,true,2030-01-01T00:00:00,
Quebec City,2030,549459,Tier 3,East,Zone H,Quebec,true,2030-01-01T00:00:00,
Hamilton,2030,569353,Tier 3,Central,Zone I,Ontario,true,2030-01-01T00:00:00,
Kitchener,2030,575847,Tier 3,Central,Zone J,Ontario,true,2030-01-01T00:00:00,
London,2030,422324,Tier 4,Central,Zone K,Ontario,true,2030-01-01T00:00:00,
Victoria,2030,367770,Tier 4,West,Zone L,British Columbia,true,2030-01-01T00:00:00,
Halifax,2030,439819,Tier 3,Atlantic,Zone M,Nova Scotia,true,2030-01-01T00:00:00,
Oshawa,2030,335949,Tier 4,Central,Zone N,Ontario,true,2030-01-01T00:00:00,
Windsor,2030,306209,Tier 4,Central,Zone O,Ontario,true,2030-01-01T00:00:00,
Saskatoon,2030,273010,Tier 4,Prairie,Zone P,Saskatchewan,true,2030-01-01T00:00:00,
Regina,2030,249217,Tier 4,Prairie,Zone Q,Saskatchewan,true,2030-01-01T00:00:00,
Barrie,2030,212856,Tier 4,Central,Zone R,Ontario,true,2030-01-01T00:00:00,
St. Catharines,2030,133298,Tier 5,Central,Zone S,Ontario,true,2030-01-01T00:00:00,
Guelph,2030,144156,Tier 5,Central,Zone T,Ontario,true,2030-01-01T00:00:00,
